"day","sourceCurrencyId","targetCurrencyId","rate"
20140505,3,2,1.38740000
20140505,3,3,1.00000000
20140505,3,6,2.44220000
20140505,4,5,1.85220000
20140505,4,8,33.33900000
20140505,4,9,9.06990000
20140505,4,7,5.11430000
20140505,4,10,5.39560000
20140505,4,1,60.40900000
20140505,4,2,1.68590000
20140505,4,3,1.21520000
20140505,4,4,1.00000000
20140505,4,6,2.96960000
20140505,5,8,18.00000000
20140505,5,9,4.89690000
20140505,5,4,0.53991000
20140505,5,7,2.76130000
20140505,5,10,2.91310000
20140505,5,1,32.61500000
20140505,5,2,0.91025000
20140505,5,3,0.65608000
20140505,5,5,1.00000000
20140505,5,6,1.60400000
20140505,7,5,0.36215000
20140505,7,8,6.51890000
20140505,7,9,1.77340000
20140505,7,4,0.19553000
20140505,7,10,1.05500000
20140505,7,1,11.81200000
20140505,7,2,0.32965000
20140505,7,3,0.23760000
20140505,7,7,1.00000000
20140505,7,6,0.58035000
20140505,8,5,0.05555500
20140505,8,9,0.27205000
20140505,8,4,0.02999500
20140505,8,7,0.15340000
20140505,8,10,0.16184000
20140505,8,1,1.81190000
20140505,8,2,0.05056900
20140505,8,3,0.03644800
20140505,8,8,1.00000000
20140505,8,6,0.08892900
20140505,9,5,0.20421000
20140505,9,8,3.67580000
20140505,9,4,0.11025000
20140505,9,7,0.56387000
20140505,9,10,0.59489000
20140505,9,1,6.66030000
20140505,9,2,0.18588000
20140505,9,3,0.13398000
20140505,9,9,1.00000000
20140505,10,5,0.34327000
20140505,10,8,6.17900000
20140505,10,9,1.68100000
20140505,10,4,0.18534000
20140505,10,7,0.94786000
20140505,10,1,11.19600000
20140505,10,2,0.31246000
20140505,10,3,0.22522000
20140505,10,10,1.00000000
20140505,6,1,20.34400000
20140505,6,2,0.56820000
20140505,6,3,0.40947000
20140505,6,4,0.33675000
20140505,6,5,0.62346000
20140505,6,6,1.00000000
20140505,6,7,1.72310000
20140505,6,8,11.24500000
20140506,1,5,0.03082000
20140506,1,8,0.55517000
20140506,1,9,0.15102000
20140506,1,4,0.01661500
20140506,1,7,0.08501900
20140506,1,10,0.08987700
20140506,1,2,0.02821600
20140506,1,3,0.02023300
20140506,1,1,1.00000000
20140506,1,6,0.04928500
20140506,2,5,1.09230000
20140506,2,8,19.67600000
20140506,2,9,5.35250000
20140506,2,4,0.58885000
20140506,2,7,3.01320000
20140506,2,10,3.18540000
20140506,2,1,35.44100000
20140506,2,3,0.71710000
20140506,2,2,1.00000000
20140506,2,6,1.75900000
20140506,3,5,1.52320000
20140506,3,8,27.43800000
20140506,3,9,7.46410000
20140506,3,4,0.82115000
20140506,3,7,4.20190000
20140506,3,10,4.44200000
20140506,3,1,49.42300000
20140506,3,2,1.39450000
20140506,3,3,1.00000000
20140506,3,6,2.44160000
20140506,4,5,1.85500000
20140506,4,8,33.41400000
20140506,4,9,9.08980000
20140506,4,7,5.11710000
20140506,4,10,5.40950000
20140506,4,1,60.18800000
20140506,4,2,1.69820000
20140506,4,3,1.21780000
20140506,4,4,1.00000000
20140506,4,6,2.96930000
20140506,5,8,18.01300000
20140506,5,9,4.90030000
20140506,5,4,0.53910000
20140506,5,7,2.75860000
20140506,5,10,2.91620000
20140506,5,1,32.44700000
20140506,5,2,0.91551000
20140506,5,3,0.65651000
20140506,5,5,1.00000000
20140506,5,6,1.60570000
20140506,7,5,0.36250000
20140506,7,8,6.52990000
20140506,7,9,1.77640000
20140506,7,4,0.19542000
20140506,7,10,1.05710000
20140506,7,1,11.76200000
20140506,7,2,0.33187000
20140506,7,3,0.23799000
20140506,7,7,1.00000000
20140506,7,6,0.58074000
20140506,8,5,0.05551400
20140506,8,9,0.27204000
20140506,8,4,0.02992700
20140506,8,7,0.15314000
20140506,8,10,0.16189000
20140506,8,1,1.80130000
20140506,8,2,0.05082400
20140506,8,3,0.03644600
20140506,8,8,1.00000000
20140506,8,6,0.08899100
20140506,9,5,0.20407000
20140506,9,8,3.67600000
20140506,9,4,0.11001000
20140506,9,7,0.56295000
20140506,9,10,0.59512000
20140506,9,1,6.62140000
20140506,9,2,0.18683000
20140506,9,3,0.13397000
20140506,9,9,1.00000000
20140506,10,5,0.34291000
20140506,10,8,6.17690000
20140506,10,9,1.68030000
20140506,10,4,0.18486000
20140506,10,7,0.94595000
20140506,10,1,11.12600000
20140506,10,2,0.31394000
20140506,10,3,0.22512000
20140506,10,10,1.00000000
20140506,6,1,20.29000000
20140506,6,2,0.56850000
20140506,6,3,0.40957000
20140506,6,4,0.33678000
20140506,6,5,0.62277000
20140506,6,6,1.00000000
20140506,6,7,1.72190000
20140506,6,8,11.23700000
