DATE,CLOSE_USD,CLOSE_EUR,CLOSE_ZOL,CLOSE_NEFT,CLOSE_SER
2016-02-25,76.3928,84.0779,3026.51,46.28,37.36
2016-02-26,76.3929,84.2155,3034.25,45.62,37.63
2016-02-27,75.0903,82.9748,2971.89,44.87,36.6
2016-02-28,,,,,
2016-02-29,,,,,
2016-03-01,75.8994,83.1023,3011.6,44.81,37.02
2016-03-02,74.0536,80.5333,2952.29,44.5,35.12
2016-03-03,73.6256,79.9721,2910.01,44.28,35.48
2016-03-04,73.8242,80.21,2947.77,42.68,35.18
2016-03-05,73.1854,80.1161,2991.79,44.06,35.22
2016-03-06,,,,,
2016-03-07,,,,,
2016-03-08,,,,,
2016-03-09,,,,,
2016-03-10,72.3775,79.4488,2927.93,43.22,36.44
2016-03-11,71.0928,77.9817,2850.82,42.91,34.9
2016-03-12,70.3067,78.4131,2853.2,40.66,34.52
2016-03-13,,,,,
2016-03-14,,,,,
2016-03-15,70.1542,78.1798,2834.16,40.46,34.96
2016-03-16,70.5408,78.3285,2797.73,40.33,35.38
2016-03-17,71.0256,78.7532,2815.81,39.55,34.98
2016-03-18,68.5598,77.1572,2798.51,38.27,33.7
2016-03-19,68.4026,77.1992,2758.89,38.27,34.59
2016-03-20,,,,,
2016-03-21,,,,,
2016-03-22,68.8086,77.4647,2752.59,37.99,35.26
2016-03-23,67.7764,76.14,2727.75,38.45,34.45
2016-03-24,67.6409,75.6902,2679.67,37.57,34.56
2016-03-25,68.9328,76.929,2695.94,36.95,34.53
2016-03-26,68.4346,76.4004,2686.47,36.55,33.62
2016-03-27,,,,,
2016-03-28,,,,,
2016-03-29,67.7807,75.6975,2660.8,36.45,33.3
2016-03-30,68.7549,76.8611,2688.99,36.23,33.29
2016-03-31,67.6076,76.5386,2691.39,36.38,33.43
2016-04-01,67.8552,76.9207,2691.21,37.79,33.55
2016-04-02,67.141,76.4266,2659.65,37.93,33.2
2016-04-03,,,,,
2016-04-04,,,,,
2016-04-05,68.6753,78.1662,2682.67,37.76,33.03
2016-04-06,68.8901,78.2798,2727.61,36.6,33.64
2016-04-07,68.5215,77.813,2700.35,37.39,33.2
2016-04-08,67.796,77.3688,2697.37,36.68,33.17
2016-04-09,67.4662,76.6888,2678.82,37.6,32.88
2016-04-10,,,,,
2016-04-11,,,,,
2016-04-12,67.125,76.4957,2691.71,38.34,33.58
2016-04-13,66.3456,75.8529,2685.95,37.33,34.04
2016-04-14,65.7662,74.6578,2634.05,36.59,33.79
2016-04-15,66.4954,74.794,2651.61,34.38,34.48
2016-04-16,66.0452,74.3405,2611.25,33.77,34.34
2016-04-17,,,,,
2016-04-18,,,,,
2016-04-19,68.2724,77.1273,2716.76,33.26,35.56
2016-04-20,65.6474,74.3719,2620.75,32.99,35.08
2016-04-21,66.0364,75.0107,2649.12,31.6,36.03
2016-04-22,65.0254,73.4592,2629.26,30.83,36.21
2016-04-23,66.2198,74.6959,2651.47,30.24,36.6
2016-04-24,,,,,
2016-04-25,,,,,
2016-04-26,66.6295,74.9515,2636.71,31.1,36.12
2016-04-27,66.4559,74.9024,2637.64,29.11,36.22
2016-04-28,65.1618,73.8023,2607.75,28.13,36.33
2016-04-29,65.1133,73.9166,2630.62,28.74,36.32
2016-04-30,64.3334,73.3015,2636.13,28.73,36.93
2016-05-01,,,,,
2016-05-02,,,,,
2016-05-03,64.3334,73.3015,,,
2016-05-04,64.3334,73.3015,,,
2016-05-05,66.1718,76.0512,2723.8,27.79,36.55
2016-05-06,65.8918,75.5713,2702.64,29.72,36.82
2016-05-07,66.1928,75.5789,2724.56,32.08,36.84
2016-05-08,,,,,
2016-05-09,,,,,
2016-05-10,,,,,
2016-05-11,66.3277,75.5406,2697.27,30.09,36.34
2016-05-12,66.2428,75.4505,2708.62,31.09,37.29
2016-05-13,64.9607,74.1137,2648.89,33.01,35.99
2016-05-14,64.9306,73.6248,2661.96,34.55,35.68
2016-05-15,,,,,
2016-05-16,,,,,
2016-05-17,64.8895,73.4549,2672.48,35.87,36.13
2016-05-18,64.5138,73.1006,2634.4,35.91,35.43
2016-05-19,65.0641,73.3077,2658.54,34.13,35.67
2016-05-20,66.211,74.2755,2668.9,32.57,35.34
2016-05-21,66.3775,74.4623,2681.48,35.47,35.34
2016-05-22,,,,,
