days_to_holiday,days_after_holiday,Timestamp
36,-109,2017-07-18
37,-108,2017-07-19
38,-107,2017-07-20
39,-106,2017-07-21
40,-105,2017-07-22
41,-104,2017-07-23
42,-103,2017-07-24
43,-102,2017-07-25
44,-101,2017-07-26
45,-100,2017-07-27
46,-99,2017-07-28
47,-98,2017-07-29
48,-97,2017-07-30
49,-96,2017-07-31
50,-95,2017-08-01
51,-94,2017-08-02
52,-93,2017-08-03
53,-92,2017-08-04
54,-91,2017-08-05
55,-90,2017-08-06
56,-89,2017-08-07
57,-88,2017-08-08
58,-87,2017-08-09
59,-86,2017-08-10
60,-85,2017-08-11
61,-84,2017-08-12
62,-83,2017-08-13
63,-82,2017-08-14
64,-81,2017-08-15
65,-80,2017-08-16
66,-79,2017-08-17
67,-78,2017-08-18
68,-77,2017-08-19
69,-76,2017-08-20
70,-75,2017-08-21
71,-74,2017-08-22
72,-73,2017-08-23
73,-72,2017-08-24
74,-71,2017-08-25
75,-70,2017-08-26
76,-69,2017-08-27
77,-68,2017-08-28
78,-67,2017-08-29
79,-66,2017-08-30
80,-65,2017-08-31
81,-64,2017-09-01
82,-63,2017-09-02
83,-62,2017-09-03
84,-61,2017-09-04
85,-60,2017-09-05
86,-59,2017-09-06
87,-58,2017-09-07
88,-57,2017-09-08
89,-56,2017-09-09
90,-55,2017-09-10
91,-54,2017-09-11
92,-53,2017-09-12
93,-52,2017-09-13
94,-51,2017-09-14
95,-50,2017-09-15
96,-49,2017-09-16
97,-48,2017-09-17
